Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier
Reduce the User Burden of Multiuser Myoelectric Interface via Few-Shot Domain Adaptation;"B. Xue; L. Wu; A. Liu; X. Zhang; X. Chen; X. Chen";"School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China";IEEE Transactions on Neural Systems and Rehabilitation Engineering;03. Feb 23;2023;31;;972;980;Due to physiological and anatomical variations across users, myoelectric interfaces trained by multiple users cannot be adapted to the unique hand movement patterns of the new user. Most current work requires the new user to provide one or more trials per gesture (dozens to hundreds of samples), applying domain adaptation methods to calibrate the model and achieve promising movement recognition performance. However, the user burden associated with time-consuming electromyography signal acquisition and annotation is a key factor hindering the practical application of myoelectric control. As shown in this work, once the number of calibration samples is reduced, the performance of previous cross-user myoelectric interfaces will degrade due to the lack of enough statistics to characterize the distributions. In this paper, a few-shot supervised domain adaptation (FSSDA) framework is proposed to address this issue. It aligns the distributions of different domains by calculating the distribution distances of point-wise surrogates. Specifically, we introduce a positive-negative pair distance loss to find a shared embedding subspace where each scarce sample from the new user will be closer to the positive samples and away from the negative samples of multiple users. Thus, FSSDA allows every target domain sample to be paired with all source domain samples and optimizes the feature distance between each target domain sample and the source domain samples within the same batch, instead of direct estimation of the data distribution of the target domain. The proposed method is validated on two high-density EMG datasets, which achieves the averaged recognition accuracies of 97.59% and 82.78% with only 5 samples per gesture. In addition, FSSDA is also effective even when only one sample per gesture is provided. The experimental results show that FSSDA greatly reduces the user burden and further facilitates the development of myoelectric pattern recognition techniques.;1558-0210;;10.1109/TNSRE.2023.3237181;"National Key Research and Development Program of China(grant numbers:2021YFF0501601); National Natural Science Foundation of China(grant numbers:32271431,82272070,61922075); Fundamental Research Funds for the Central Universities(grant numbers:KY2100000123,WK2100000028); China Postdoctoral Science Foundation(grant numbers:2022M723055); University Synergy Innovation Program of Anhui Province(grant numbers:GXXT-2019-025); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017271;"Electromyography (EMG);myoelectric pattern recognition;gesture recognition;few-shot domain adaptation";"Gesture recognition;Electromyography;Electrodes;Data models;Performance evaluation;Muscles;Convolutional neural networks";;2;;40;CCBY;16. Jan 23;;;IEEE;IEEE Journals
Motion recognition from contact force measurement;"T. Yabuki; G. Venture";"Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Japan; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Japan";2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC);26. Sep 13;2013;;;7245;7248;"Optical motion capture systems, which are used in broad fields of research, are costly; they need large installation space and calibrations. We find difficulty in applying it in typical homes and care centers. Therefore we propose to use low cost contact force measurement systems to develop rehabilitation and healthcare monitoring tools. Here, we propose a novel algorithm for motion recognition using the feature vector from force data solely obtained during a daily exercise program. We recognized 7 types of movement (Radio Exercises) of two candidates (mean age 22, male). The results show that the recognition rate of each motion has high score (mean: 86.9%). The results also confirm that there is a clustering of each movement in personal exercises data, and a similarity of the clustering even for different candidates thus that motion recognition is possible using contact force data.";1558-4615;978-1-4577-0216-7;10.1109/EMBC.2013.6611230;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6611230;;"Force;Vectors;Principal component analysis;Force measurement;Clustering algorithms;Training data;Training";"Algorithms;Biomechanical Phenomena;Calibration;Cluster Analysis;Exercise;Humans;Male;Monitoring, Ambulatory;Motion;Movement;Principal Component Analysis;Stress, Mechanical;Young Adult";5;;7;IEEE;26. Sep 13;;;IEEE;IEEE Conferences
A Novel Feature from Instrumented Utensils for Clinical Assessment of Friedreich Ataxia;"L. L. Abeysekara; C. Kolambahewage; P. N. Pathirana; M. Horne; D. J. Szmulewicz; L. A. Corben";"School of Engineering, Deakin University, Waurn Ponds, VIC, AU; School of Engineering, Deakin University, Waurn Ponds, VIC, AU; School of Engineering, Deakin University, Waurn Ponds, VIC, AU; Florey Institute of Neuroscience and Mental Health, Parkville, VIC, AU; Florey Institute of Neuroscience and Mental Health, Parkville, VIC, AU; Murdoch Children’s Research Institute, Parkville, VIC, AU";2023 45th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC);11 Dec 2023;2023;;;1;4;Friedreich Ataxia (FRDA) is an inherited disorder that affects the cerebellum and other regions of the human nervous system. It causes impaired movement that affects quality and reduces lifespan. Clinical assessment of movement is a key part of diagnosis and assessment of severity. Recent studies have examined instrumented measurement of movement to support clinical assessments. This paper presents a frequency domain approach based on Average Band Power (ABP) estimation for clinical assessment using Inertial Measurement Unit (IMU) signals. The IMUs were attached to a 3D printed spoon and a cup. Participants used them to mimic eating and drinking activities during data collection. For both activities, the ABP of frequency components from individuals with FRDA clustered in 0 to 0.2Hz band. This suggests that the ABP of this frequency is affected by FRDA irrespective of the device or activity. The ABP in this frequency band was used to distinguish between FRDA and non-ataxic participants using the Area Under the Receiver-Operating-Characteristic Curve (AUC) which produced peak values greater than 0.8. The machine learning models (logistic regression and neural networks) produced accuracy greater than 80% with these features common to both devices.;2694-0604;979-8-3503-2447-1;10.1109/EMBC40787.2023.10340519;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10340519;;"Three-dimensional displays;Protocols;Measurement units;Instruments;Neural networks;Data collection;Particle measurements";"Humans;Friedreich Ataxia;Cerebellum;Movement;Case-Control Studies";;;12;IEEE;11 Dec 2023;;;IEEE;IEEE Conferences
Fatigue Detection Using Deep Long Short-Term Memory Autoencoders;"K. Balaskas; K. Siozios";"Department of Physics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Physics, Aristotle University of Thessaloniki, Thessaloniki, Greece";2021 10th International Conference on Modern Circuits and Systems Technologies (MOCAST);27. Jul 21;2021;;;1;4;Efficient time series data mining techniques are an essential part of real world measurement systems and can yield meaningful results from unlabeled data by taking advantage of feature extraction principles. In this paper, we perform kinematic analysis on time series data from IMU sensors for fatigue detection on runners, using several unsupervised machine learning techniques. We propose a robust feature extraction scheme composed of an LSTM Autoencoder, to exploit the advantages of recurrent neural networks and the data compression capabilities of an Autoencoder. The proposed model combines the advantages of several clustering algorithms for accurate fatigue detection in real time, making it suitable for implementation in an embedded device. Experimental evaluation of the feature extraction algorithms showcased their capabilities to produce meaningful features, overcoming the obstacle of extremely limited training data. The inference procedure yielded successful detection in 43% of our representative sample, indicating the efficiency of our model in extracting robust features from unseen kinematic data.;;978-1-6654-1847-8;10.1109/MOCAST52088.2021.9493378;"European Regional Development Fund; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9493378;"Machine Learning;Fatigue Detection;LSTM;Autoencoders;Clustering;Feature Extraction";"Training;Time series analysis;Clustering algorithms;Training data;Kinematics;Feature extraction;Fatigue";;1;;14;IEEE;27. Jul 21;;;IEEE;IEEE Conferences
Variation of Spatiotemporal Arm Muscle Synergies During Drawing Spirals and Circles: Can it be Applied in the Analysis of Learning?;"M. Taleshi; A. Jafarzadeh; N. Taleshi; F. Bahrami";"CIPCE, University of Tehran, Tehran, Iran; CIPCE, University of Tehran, Tehran, Iran; CIPCE, University of Tehran, Tehran, Iran; CIPCE, University of Tehran, Tehran, Iran";2017 24th National and 2nd International Iranian Conference on Biomedical Engineering (ICBME);09. Aug 18;2017;;;330;333;"Strategies used by the central nervous system (CNS) for muscle recruitment and solving the question of abundancy are not still fully understood. Many observations suggest that the CNS overcomes the complexity of abundant number of muscles to be controlled using a dimension reduction policy based on developing muscle synergy groups. This will result in a modular control strategy, which is assumed to make the controlling task easier for the CNS. An important question in this field is how the synergy patterns may change during learning a new task. In this work, we assessed the effectiveness of modularity in describing muscle activity changes during learning. For this purpose, we designed a set of experiments comprising of two drawing tasks of spiral and circle based on tracking predefined patterns, on horizontal plane, by non-dominant arm. The drawing tasks were repeated in 5 different sessions (each session on a separate day) to observe the effect of training on learning. EMG signals from eight muscles of the non-dominant upper limb and the actual trajectory of the pen attached to the hand during drawing were collected. Data were recorded from six healthy participants. For kinematics evaluation of motor learning, the Inverse Efficiency Score (IES) was used in a different way compared to its original defined context, and it's decreasing trend indicated that learning has occurred. In addition, for evaluating the effect of motor learning on muscle activities, space-by-time decomposition model (unified method [1]) was applied to extract spatial and temporal synergies at the same time. Using the Variance Accounted For (VAF) criteria, four spatial and temporal synergies were the minimum necessary number of synergies necessary to re-generate the the EMG's. To study the effect of practice/learning, changes in synergy components over training sessions were evaluated. For all participants, in the last session, spatial synergy modules have become more similar(increasing trend with r2 = 0.9125). On the other hand, the temporal synergy modules, which represent the pattern of time in the EMG data, indicates more rhythmicity of the movement in the last session. The learning effect on the coefficient matrix was measured by the Pearson Correlation (PC) index; increasing trend of this index indicates that the coefficient matrix is converging to a constant matrix by passage of time.";;978-1-5386-3609-1;10.1109/ICBME.2017.8430286;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8430286;"Muscle Synergy;Learning;Electromyogram (EMG);spiral drawing;circle drawing";Biomedical engineering;;;;12;IEEE;09. Aug 18;;;IEEE;IEEE Conferences
A Hand Motion Recognition System Combining Wearable Sensing Gloves and Template Matching Algorithm;"D. Wang; Y. Fu; B. Yang; T. Liu; C. Meng; S. Guo";"State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, P. R. China; State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, P. R. China; State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, P. R. China; State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, P. R. China; State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, P. R. China; State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, P. R. China";2024 IEEE International Conference on Mechatronics and Automation (ICMA);19. Aug 24;2024;;;770;775;"Hand motion recognition systems, especially those these using wearable electronic glove, have received growing attention in the field of human-computer interaction and medical rehabilitation. However, two problems still exist: (1) the sensors are usually single, which fails to acquire the multi-sensor information; and (2) Pattern recognition based on deep learning algorithms tend to require a large number of samples to ensure pattern recognition accuracy, whereas obtaining a large amount of hand movement information from a patient is difficult. To address the above problems, this study develops a hand motion recognition system through combining a wearable sensing glove and a new template matching algorithm. The wearable sensing glove employs five Flex sensors and one Inertial Measurement Unit (IMU) to obtain the gesture information, followed by realization of the human-computer interaction through the Unity3D software. Meanwhile, a simple template matching algorithm is constructed for the hand gesture recognition, which can recognize 10 numbers and 20 letters in American Sign Language (ASL) with an accuracy of 90.11% and 87.13%, respectively. The proposed hand motion recognition system can basically meet the needs of patients for hand movement recognition.";2152-744X;979-8-3503-8807-7;10.1109/ICMA61710.2024.10633126;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10633126;"pattern recognition;hand motion recognition;wearable sensing glove;template matching algorithm";"Human computer interaction;Wrist;Sign language;Accuracy;Software algorithms;Software;Sensors";;;;13;IEEE;19. Aug 24;;;IEEE;IEEE Conferences
Direction Modulation of Muscle Synergies in a Hand-Reaching Task;"S. Israely; G. Leisman; C. Machluf; T. Shnitzer; E. Carmeli";"Department of Physical Therapy, University of Haifa, Haifa, Israel; School of Health Sciences, University of Haifa, Haifa, Israel; Faculty of Electrical Engineering, Technion–Israel Institute of Technology, Haifa, Israel; Faculty of Electrical Engineering, Technion–Israel Institute of Technology, Haifa, Israel; Department of Physical Therapy, University of Haifa, Haifa, Israel";IEEE Transactions on Neural Systems and Rehabilitation Engineering;6 Dec 2017;2017;25;12;2427;2440;Functional tasks of the upper extremity can be executed by a variety of muscular patterns, independent of the direction, speed and load of the task. This large number of degrees of freedom imposes a significant control burden on the CNS. Previous studies suggested that the human cortex synchronizes a discrete number of neural functional units within the brainstem and spinal cord, i.e. muscle synergies, by linearly combining them to execute a great repertoire of movements. Further exploring this control mechanism, we aim to study whether a single set of muscle synergies might be generalized to express movements in different directions. This was implemented by using a modified version of the non-negative matrix factorization algorithm on EMG data sets of the upper extremity of healthy people. Our twelve participants executed hand-reaching movements in multiple directions. Muscle synergies that were extracted from movements to the center of the reaching space could be generalized to synergies for other movement directions. This finding was also supported by the application of a weighted correlation matrix, the similarity index and the results of the K-means cluster analysis. This might reinforce the notion that the CNS flexibly combines a single set of small number of synergies in different amplitudes to modulate movement for different directions.;1558-0210;;10.1109/TNSRE.2017.2769659;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094297;"Muscle synergy;non-negative matrix factorization (NMF);motor control;electromyography (EMG);hand-reaching";"Muscles;Electromyography;Force;Spinal cord;Extremities;Indexes";"Aged;Algorithms;Biomechanical Phenomena;Electromyography;Female;Hand;Healthy Volunteers;Humans;Male;Middle Aged;Muscle, Skeletal;Psychomotor Performance;Upper Extremity";24;;47;IEEE;02. Nov 17;;;IEEE;IEEE Journals
Construction of Multiplex Muscle Network for Precision Pinch Force Control;"Y. Lv; N. Wie; K. Li";"Laboratory of Rehabilitation Engineering, Department of Biomedical Engineering, School of Control Science and Engineering, Shandong University, Jinan, China; Department of Geriatrics, Qilu Hospital, Shandong University, Jinan, China; Laboratory of Rehabilitation Engineering, Department of Biomedical Engineering, School of Control Science and Engineering, Shandong University, Jinan, China";2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC);27. Aug 20;2020;;;3269;3272;Muscle synergy is a fundamental mechanism of motor control. Despite a number of studies focusing on muscle synergy during power grip and pinch at high-level force, relatively less is known about the functional interactions between muscles within low-level force production during precision pinch. Traditional analytical tools such as nonnegative matrix factorization or principal component analysis have limitations in processing nonlinear dynamic electromyographic signals and have confined sensitivity particularly for the low-level force production. In this study, we developed a novel method — multiplex muscle networks, to investigate the dynamical coordination of muscle activities at low-level force production during precision pinch. The multiplex muscle network was constructed based on multiplex limited penetrable horizontal visibility graph (MLPHVG). Seven forearm and hand muscles, including brachioradialis (BR), flexor carpi ulnaris (FCU), flexor carpi radialis (FCR), flexor digitorum superficialis (FDS), extensor digitorum communis (EDC), abductor pollicis brevis (APB) and first dorsal interosseous (FDI), were examined using surface electromyography (sEMG). Eight healthy subjects were instructed to perform a visuomotor force tracking task by producing higher (10% MVC) and lower (1% MVC) precision pinch. Interlayer mutual information I, average edge overlap ω weighted clustering coefficient CW, weighted characteristic path length LW were selected as network metrics. We assessed the undirected weighted network generated from multiplex muscle network after taking the I between paired muscle network layers as edge. There are significant differences between higher and lower force level with higher I, ω, CW and lower LW at higher force level. Advanced efficiency of information processing in the regional and global perspective indicated dynamical alterations when human faces the higher force tracking task. It suggested that ω may be an important characteristic to classify different force control states with the average classification accuracy of 82.21%. These findings reveal related alterations of functional interactions between muscles involved in precision pinch. The novel method for constructing multiplex muscle network may provide insights into muscle synergies during precision pinch force control.;2694-0604;978-1-7281-1990-8;10.1109/EMBC44109.2020.9175447;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9175447;;"Multiplexing;Sensitivity;Force;Production;Information processing;Muscles;Force control";"Electromyography;Forearm;Hand;Hand Strength;Humans;Muscle, Skeletal";2;;15;IEEE;27. Aug 20;;;IEEE;IEEE Conferences
Advanced Analysis of Wearable Sensor Data to Adjust Medication Intake in Patients with Parkinson's Disease;"D. M. Sherrill; R. Hughes; S. S. Salles; T. Lie-Nemeth; M. Akay; D. G. Standaert; P. Bonato";"Department of Physical Medicine & Rehabilitation, Harvard Medical School, Spaulding Rehabilitation Hospital, Boston, MA, USA; Department of Physical Medicine & Rehabilitation, Harvard Medical School, Spaulding Rehabilitation Hospital, Boston, MA, USA; Department of Physical Medicine & Rehabilitation, University of Kentucky, Lexington, KY, USA; Department of Physical Medicine & Rehabilitation, Harvard Medical School, Spaulding Rehabilitation Hospital, Boston, MA, USA; Thayer School of Engineering, Dartmouth College, Hanover, NH, USA; Department of Neurology, Harvard Medical School, Massachusetts General Hospital, Boston, MA, USA; Department of Physical Medicine & Rehabilitation, Harvard Medical School, Spaulding Rehabilitation Hospital, Boston, MA, USA";Conference Proceedings. 2nd International IEEE EMBS Conference on Neural Engineering, 2005.;18. Apr 05;2005;;;202;205;"The objective of this pilot work is to identify characteristics and measure severity of motor fluctuations in patients with Parkinson's disease (PD) based on wearable sensor data. Improved methods of assessing longitudinal changes in PD would enable optimization of treatment and maximization of patient function. We hypothesize that motor fluctuations accompanying late-stage PD present with predictable features of accelerometer signals recorded during execution of standardized motor tasks. Six patients (age 46-75) with diagnosis of idiopathic PD and levodopa-related motor fluctuations were studied. Subjects performed motor tasks in a ""practically-defined OFF"" state, and then at 30 minute intervals after medication intake. At each interval, data from 8 uniaxial accelerometers on the upper and lower limbs were recorded continuously, and subjects were videotaped. Features representing motion characteristics such as intensity, rate, regularity, and coordination were derived from the sensor data, and clinical scores were assigned for each task by review of the videotapes. Cluster analysis was performed on feature sets that were expected to reflect severity of parkinsonian symptoms (e.g. bradykinesia) and motor complications (e.g. dyskinesias). Two-dimensional data projections revealed clusters corresponding to the degree of dyskinesia and bradykinesia indicated by clinical scores. These preliminary results support our hypothesis that wearable sensors are sensitive to changing patterns of movement throughout the medication intake cycle, and that automated recognition of motor states using these recordings is feasible";1948-3554;0-7803-8710-4;10.1109/CNE.2005.1419591;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1419591;;"Wearable sensors;Parkinson's disease;Medical diagnostic imaging;Fluctuations;Accelerometers;Optimization methods;Medical treatment;Sensor phenomena and characterization;Performance analysis;Pattern recognition";;6;5;13;IEEE;18. Apr 05;;;IEEE;IEEE Conferences
Modelling dynamic body-to-body channels in outdoor environments;"M. Mackowiak; L. M. Correia";"INOV-INESC/Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; INOV-INESC/Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal";2014 XXXIth URSI General Assembly and Scientific Symposium (URSI GASS);20 Oct 2014;2014;;;1;2;"Wireless Body Area Networks (BANs) refer to body centric wireless communications, [1], [2], where one or more of the communication devices are attached to the human body. When communications take place between wearable devices on two independently moving bodies, the body-to-body channel is considered, [3]. In this case, the antennas on both sides of the radio link are influenced by the presence of the body. The goal of this paper is to address the development of a flexible method to model radio channels in body-to-body communications. The model can be applied to any type of antenna, however, the radiation pattern of the antenna has to be previously modelled on the static body (e.g., voxel model) using full wave simulations, [4]. This ensures that the coupling of the body, which has an impact on the radiation pattern of antenna, is included. As the proposed model for body dynamics is based on motion capture analysis, [5], any type of body movement can be considered (e.g., run). The environment consists of clusters of scatterers, and the Geometrically Based Statistical Channel model adapted to the BANs is used, [6], to calculate Multi-Path Components (MPCs). The practical scenario of 2 bodies running in a street in an urban area (i.e., micro-cell) has been taken as a study case, Fig. 1. A patch antenna, [7], operating in the 2.45 GHz Industrial, Scientific, and Medical (ISM) band is used. There are several typical placements of antennas in BANs, the following locations on both bodies being analysed: TO F and TO B (front and back side of the Chest); WA F (front side of the Waist); HE F, HE B, HE L and HE R (front, back, left and right side of the Head); AB L and AB R (left and right side of the Arm). This results in 81 possible body-to-body links. In order to model the street environment, a set of 10 clusters, of 3 scatterers each, has a uniform distribution in the half space of an ellipsoid. Two bodies are running in parallel on a straight line, in the middle of the street, with a 2 m separation between body centres. The running speed was set to 14.4 km/h. In order to obtain statistical parameters, each dynamic scenario has been repeated 30 times (for a random distribution of scatterers).";;978-1-4673-5225-3;10.1109/URSIGASS.2014.6929652;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6929652;;"Antenna radiation patterns;Wireless communication;Gain;Charge coupled devices;Channel models;Patch antennas";;5;;7;IEEE;20 Oct 2014;;;IEEE;IEEE Conferences
Human body gesture recognition method based on deep learning;"L. Chen; Y. Li; Y. Liu";"Shenyang Ligong University, Shenyang, China; Shenyang Ligong University, Shenyang, China; Shenyang Ligong University, Shenyang, China";2020 Chinese Control And Decision Conference (CCDC);11. Aug 20;2020;;;587;591;Human pose recognition technology has always been an important research content in the field of computer vision and pattern recognition. So far, many pose recognition methods and theories have been proposed. However, in the process of human pose recognition, misjudgment still occurs due to the interference within the class, similar movements and other external factors. In this paper, a DBLSTM neural network model is constructed based on the methods of deep learning and data fusion for the similar motion confusion problem in the human pose recognition process. The wearable motion capture device is used to take the kinematics data of the key nodes of the human body and fuse the data with the human skeleton data extracted from the video image by Openpose. The experimental results show that the average recognition rate of similar actions of the human body is above 92%. The effectiveness of the proposed method is verified.;1948-9447;978-1-7281-5855-6;10.1109/CCDC49329.2020.9164676;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9164676;"gesture recognition;deep learning;information fusion;motion capture;Openpose";"Recurrent neural networks;Gesture recognition;Kinematics;Machine learning;Logic gates;Wireless communication;Convolutional neural networks";;7;;16;IEEE;11. Aug 20;;;IEEE;IEEE Conferences
SEMG De-Noising Based on the Lifting Wavelet Transform;"Z. -Z. Luo; Y. -F. Li; M. Meng";"Robot Res. Inst., Hangzhou Dianzi Univ., Hangzhou, China; Robot Res. Inst., Hangzhou Dianzi Univ., Hangzhou, China; Robot Res. Inst., Hangzhou Dianzi Univ., Hangzhou, China";2009 3rd International Conference on Bioinformatics and Biomedical Engineering;14. Jul 09;2009;;;1;4;In order to improve the surface electromyography (SEMG) pattern recognition ability of hand movement, this paper presents a de-noising method based on lifting wavelet transform. Firstly, high frequency detail coefficients of multilayer signals are obtained from original SEMG using the lifting wavelet decomposition with lifting algorithm. Then the coefficients are treated by the soft and the hard threshold method separately. Finally, a noise decreased signal is obtained through reconstructing the filtered coefficients. The de-noising experiments of standard sine adding noise signal and real SEMG are carried on. The results show that the lifting wavelet is an obvious better de-noising method compared to the first generation wavelet. In addition, the hard threshold method is more ideal for SEMG de-noising than the soft threshold method.;2151-7622;978-1-4244-2901-1;10.1109/ICBBE.2009.5163377;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5163377;;"Noise reduction;Wavelet transforms;Wavelet domain;Electromyography;Signal processing;Discrete wavelet transforms;Bioelectric phenomena;Signal generators;Muscles;Skin";;1;;8;IEEE;14. Jul 09;;;IEEE;IEEE Conferences
Quantitative evaluation of the scope of application of hand motion recognition based on SVM;"T. Ruan; C. Liu; K. Yin; S. Zhou";"Nanjing Research Institute of Electronics Technology, Jiangsu, Nanjing, China; Nanjing Research Institute of Electronics Technology, Jiangsu, Nanjing, China; Nanjing Research Institute of Electronics Technology, Jiangsu, Nanjing, China; School of Astronautics, Northwestern Polytechnical University, Xi’an, Shaanxi, China";2019 Chinese Automation Congress (CAC);13. Feb 20;2019;;;4141;4145;Pattern recognition based on surface electromyography (sEMG) has become a hot topic in the field of rehabilitation medicine. In this paper, the algorithm model of time-domain feature and SVM was used to classify 7 hand movements, and the applicable scope of this model was quantitatively evaluated through a series of experiments on 12 able-bodied subjects (including 5 children). In this paper, MYO armband and BioRadio are taken as examples to evaluate the influence of different sensors on their classification performance from three aspects of channel number, channel positions and sampling frequency of different devices. Finally, it is proved that when the number of channels is greater than or equal to 4, the classification performance of this algorithm will not change significantly (P=0.531) as long as the appropriate electrode placement position is selected. It is also proved that different sampling frequencies of different devices will not significantly affect their classification performance (P=0.092). At the same time, we found that age did not significantly affect the quality of sEMG signals by comparing the classification results of children and adults.;2688-0938;978-1-7281-4094-0;10.1109/CAC48633.2019.8997314;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8997314;"Hand nwtion recognition;sEMG;Scope of application;Age";"Performance evaluation;Support vector machines;Data acquisition;Data processing;Reactive power;Electromyography";;;;12;IEEE;13. Feb 20;;;IEEE;IEEE Conferences
Structural connectome of the human vestibular, pre-motor, and navigation network;"I. Indovina; R. Riccelli; L. Passamonti; V. Maffei; G. Bosco; F. Lacquaniti; N. Toschi";"Laboratory of Neuromotor Physiology, IRCCS Santa Lucia Foundation, Rome, 00179, Italy; Laboratory of Neuromotor Physiology, IRCCS Santa Lucia Foundation, Rome, 00179, Italy; University of Cambridge, Cambridge, Cambridgeshire, GB; Universita degli Studi di Roma Tor Vergata, Roma, Lazio, IT; Laboratory of Neuromotor Physiology, IRCCS Santa Lucia Foundation, Rome, 00179, Italy; Universita degli Studi di Roma Tor Vergata, Roma, Lazio, IT; Universita degli Studi di Roma Tor Vergata, Roma, Lazio, IT";2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC);28 Oct 2018;2018;;;588;591;The aim of this study is to characterize modules and hubs within the multimodal vestibular system and, particularly, to test the centrality of posterior peri-sylvian regions. Structural connectivity matrices from 50 unrelated healthy right-handed subjects from the Human Connectome Project (HCP) database were analyzed using multishell diffusion-weighted data, probabilistic tractography (constrained spherical-deconvolution informed filtering of tractograms) in combination with subject-specific grey matter parcellations. Network nodes included parcellated regions within the vestibular, pre-motor and navigation system. Module calculation produced two and three modules in the right and left hemisphere, respectively. On the right, regions were grouped into a vestibular and pre-motor module, and into a visual-navigation module. On the left this last module was split into an inferior and superior component. In the thalamus, a region comprising the mediodorsal and anterior complex, and lateral and inferior pulvinar, was included in the ipsilateral navigation module, while the remaining thalamus was clustered with the ipsilateral vestibular pre-motor module. Hubs were located bilaterally in regions encompassing the inferior parietal cortex and the precuneus. This analysis revealed a dorso-lateral path within the multi-modal vestibular system related to vestibular / motor control, and a ventro-medial path related to spatial orientation / navigation. Posterior peri-sylvian regions may represent the main hubs of the whole modular network.;1558-4615;978-1-5386-3646-6;10.1109/EMBC.2018.8512399;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8512399;;"Thalamus;Navigation;Optical fiber networks;Visualization;Probabilistic logic;Filtering;Grey matter";"Adult;Connectome;Humans;Parietal Lobe;Thalamus;Vestibule, Labyrinth;Young Adult";2;;21;IEEE;28 Oct 2018;;;IEEE;IEEE Conferences
